Frequency,Dutch Word,English Word
64405,ligt,lies
64238,blijft,stays
64115,welke,which
64012,proberen,to attempt
63817,dokter,doctor
63555,agent,agent
63532,help,Help
63082,later,later on
63075,voordat,before
62918,ogen,eyes
62903,vrij,free
62698,klopt,beats
62679,gaf,gave
62534,foto,photo
62511,word,become
62255,zodat,so that
61982,dochter,daughter
61468,problemen,issues
60863,plek,place
60841,water,water
60829,kent,knows
60761,week,week
60700,beginnen,to start
60565,praat,talk
60548,eerder,earlier
60362,lk,lk
60292,mis,wrong
60071,handen,hands
59630,deur,door
59278,baby,baby
59053,bellen,to call
59016,boven,above
58985,groot,big
58959,echte,real
58632,hoeft,needs
58600,ie,ie
58363,doden,kill
58247,stoppen,fuses
58228,moeilijk,difficult
57649,dr,dr
57267,sinds,ever since
57099,land,country
57039,spelen,play
56681,zoveel,that much
56072,hetzelfde,the same
55850,mevrouw,Mrs
55686,snap,snap
55649,breng,bring
55220,pakken,to grab
55117,druk,Busy
55047,verhaal,story
55015,lekker,yummy
54920,vrouwen,women
54898,schat,treasure
54741,vergeten,forget
54607,gebeuren,to happen
54520,ervan,of it
54466,kreeg,received
54358,waarschijnlijk,probably
54330,hoi,Hi
53888,mogelijk,possible
53773,mooie,nice
53765,bloed,blood
53317,wees,orphan
53267,nacht,night
53254,nieuws,news
53226,bed,bed
53125,liet,let
52842,lopen,walk
52806,gelukkig,happy
52805,waarheid,truth
52589,reden,rode
52556,papa,Daddy
52304,hoorde,heard
52079,klinkt,sounds
52069,maanden,months
52031,vermoorden,murder
51990,zorg,care
51705,dollar,dollar
51568,bezig,busy
51461,voorbij,past
51386,terwijl,while
51380,sta,stae
51286,zaken,Affairs
51218,avond,evening
51105,tien,ten
51056,schuld,debt
50903,veilig,safe
50611,redden,to save
50609,hart,heart
50560,zult,will
50325,duidelijk,clear
50175,stel,couple
50102,the,the
50037,schiet,shoot
50016,eraan,toe
49982,zes,six
49685,begin,get started
49497,gekomen,come
49460,vol,full
49358,vriendin,female friend
49059,rond,round
49014,voelt,feels
48971,baas,boss
48872,moord,murder
48843,ander,other
48749,klein,small
48589,fijn,nice
48578,jaren,years
48070,mam,mam
47882,lichaam,body
47810,eerlijk,honestly
47803,gezicht,sight
47792,ver,far
47750,wakker,wake-up
47675,ouders,parents
47574,zoiets,such a thing
47431,leren,to learn
47429,telefoon,telephone
47185,los,loose
46924,per,per
46820,mama,mom
46581,nummer,number
46511,fout,wrong
46347,mogen,be allowed to
46199,meteen,immediately
46123,slapen,to sleep
46111,zeer,very
45938,dezelfde,the same
45767,liefde,love
45696,alstublieft,Please
45662,deel,part
45510,liggen,lying down
45415,erop,on top
45386,vaak,often
45284,vallen,fall
44823,belangrijk,important
44628,sterven,to die
44604,oud,old
44595,neer,down
44533,buurt,neighbourhood
44529,langs,by
44363,houd,loves
44302,rest,rest
44174,stond,was standing
44022,sir,sir
43973,begrepen,understood
43854,drinken,drinks
43410,team,team
43281,vertelde,told
43261,beneden,downstairs
43213,vergeet,forgets
43171,vooruit,forward
43163,mrs,MRS
43123,hoort,belongs
42966,baan,track
42908,dicht,closed
42901,inderdaad,indeed
42854,geval,case
42520,zetten,to make
42460,oorlog,war
42111,mezelf,myself
42029,tijdens,during the day
41998,john,John
41931,maakte,melt
41881,kennen,know
41872,gebruikt,used
41404,oke,Okay
41207,geluk,luck
41125,hey,hey
41017,hield,loved
40809,wapen,weapon
40757,kop,cup
40719,vertrouwen,to trust
40686,rust,peace
40549,mond,mouth
40353,weken,to soften
40102,elk,each
40089,betalen,Pay
40002,anderen,Others
39919,neemt,take
39851,recht,straight
39811,nam,took
39704,jack,jacket
39590,kantoor,office
39508,gegeven,given
39489,ermee,with it
39489,overal,everywhere
39356,eén,An
39346,daarna,afterwards
39232,tweede,second
39172,onderzoek,research
39139,welkom,welcome
39129,hard,hard
39078,liever,rather
39005,bewijs,proof
38990,vanaf,from
38750,aardig,friendly
38177,klootzak,asshole
38103,stuk,piece
38045,woord,word
37709,veranderen,change
37661,zin,sentence
37601,straks,soon
37493,vent,vent
37423,zus,sister
37392,haat,hate
37082,vandaan,from
36969,miss,miss
36929,lieverd,Darling
36924,zichzelf,herself
36821,nieuw,new
36709,ontmoeten,Meet
36285,werden,became
36178,allebei,both
36169,minder,less
36114,pap,dad
36087,nergens,nowhere
36067,kwaad,pissed off
36052,sam,sam
35890,erin,in
35890,ervoor,before
35849,kerel,dude
35814,gisteren,yesterday
35797,ontmoet,meet
35595,miljoen,million
35551,ok,OK
35549,film,movie
35488,verloren,lost
35403,probeerde,attempted
35366,gebeld,acquired
35306,new,new
35114,antwoord,answer
35032,noemen,to call
35029,informatie,information
34984,boek,book
34963,stil,quiet
34916,kapitein,captain
34810,kwijt,lost
34753,enkel,only
34444,valt,fall
34129,boos,angry
34092,licht,light
34091,geworden,become
33925,pa,dad
33880,persoon,person
33856,konden,could
33812,beschermen,to protect
33703,slechte,poor
33702,ziekenhuis,Hopital
33679,gevoel,feeling
33648,gegaan,gone
33604,voorzichtig,carefully
33539,hond,dog
33466,rijden,to drive
33462,eindelijk,Finally
33443,gesproken,spoken
33404,meisjes,girls
33284,aarde,soil
33260,ten,ten
33143,normaal,normal
33102,grappig,funny
33056,heren,Gentlemen
32995,voelen,to feel
32729,moordenaar,killer
32726,mens,man
32722,president,president
32680,nogal,quite
32654,gevangenis,jail
32569,loopt,run
32540,degene,the one
32438,prachtig,magnificent
32290,hoezo,how so
32204,kopen,to buy
32202,vechten,fight
32143,punt,point
32143,vreemd,strange
32114,trouwen,Marry
32053,contact,Contact
31969,verkeerd,wrong
31855,meen,moon
31743,koffie,coffee
31741,verwacht,expected
31735,schip,ship
31676,ziek,ill
31661,plezier,pleasure
31594,einde,end
31546,stap,step
31388,advocaat,lawyer
31297,begint,begins
31286,begon,began
31261,enkele,couple of
31234,erbij,there
31196,gang,corridor
30939,gebeurde,happened
30666,heer,gentleman
30618,herinner,remember
30577,jezus,Jesus
30568,opnieuw,again
30560,serieus,serious
30497,zomaar,just like that
30422,pardon,excuse me
30308,gevraagd,requested
30282,controle,check
30245,getrouwd,married
30143,daarmee,with that
30090,spel,game
29995,bedoelt,mean
29932,perfect,perfect
29907,stellen,set
29726,juiste,right one
29682,koning,king
29548,beloof,promise
29492,grond,ground
29489,waard,worth
29462,winnen,to win
29411,nadat,once
29291,gebruik,usage
29240,naartoe,to
29159,begrijpen,understand
29159,veranderd,changed
29149,acht,eight
29064,he,Hey
28953,gingen,used to go
28894,kwamen,come
28744,leeft,lives
28657,leg,put
28643,gekregen,got
28616,langer,longer
28356,verliezen,losses
28297,vroeger,back in the days
28282,lucht,sky
28261,wapens,weapons
28236,verlaten,leave
28172,probeert,trust
28158,dames,ladies
28136,seks,sex
28119,schieten,to shoot
28024,toekomst,future
27924,behalve,except for
27858,slim,smart
27783,meest,most
27775,stuur,send
27774,leger,army
27714,woorden,words
27709,zeven,seven
27669,brengt,brings
27520,charlie,Charlie
27475,half,half
27465,hierheen,here
27431,trots,pride
27325,spullen,stuff
27264,geheim,secret
27196,helpt,helps
27185,vraagt,ask
27155,michael,Michael
27127,weinig,few
27108,ongeveer,about
27101,schatje,honey
27051,sommige,some
27038,makkelijk,comfortable
27027,kracht,power
26998,gedood,killed
26896,gestolen,stolen
26872,tenminste,at least
26823,lange,long
26806,ongeluk,accident
26751,frank,frank
26748,zodra,as soon
26726,werkte,worked
26688,wilden,wild ones
26681,eet,eat
26636,slechts,only
26598,lief,sweet
26568,nietwaar,not true
26541,relatie,relation
26517,trek,tin
26507,afgelopen,past
26492,val,trap
26484,volgen,to follow
26465,ter,in
26418,voelde,felt
26262,bekend,known
26238,bewijzen,prove
26178,hoef,hoof
26128,via,through
26120,oom,uncle
26088,loop,loop
26056,belde,bell
26002,lijken,appear
25914,sturen,to steer
25862,men,men
25831,slachtoffer,victim
25817,george,George
25781,genomen,taken
25724,maand,month
25712,onzin,nonsense
25704,meid,girl
25702,york,york
25643,erger,worse
25618,idioot,idiot
25565,ziens,seeing
25549,dienst,shift
25512,erover,over
25473,feest,party
25459,leek,seemed
25443,vreselijk,horrible
25438,eentje,one
25434,gevaar,danger
25430,wonen,live
25416,grootste,largest
25376,succes,good luck
25316,vertrekken,leave
25293,jawel,Yes
25279,muziek,music
25228,mocht,if
25187,raar,weird
25122,slaap,sleep
25012,joe,joe
25005,absoluut,absolute
24965,vorige,previous
24883,ruimte,room
24813,ieder,each
24785,schuldig,guilty
24705,goeie,good
24702,begonnen,started
24691,luisteren,listen
24629,sterk,strong
24612,omhoog,upwards
24590,totdat,until
24583,afspraak,appointment
24558,lezen,read
24450,zwarte,black
24440,vanwege,because of
24434,hemel,heaven
24428,tenzij,unless
24391,gisteravond,yesterday evening
24387,begrijpt,understands
24382,ene,one
24379,lag,lay
24354,naast,next
24316,vooral,mostly
24165,fantastisch,fantastic
24151,gered,savage
24135,viel,fell
24067,trouwens,Incidentally
24032,uh,uh
24010,bank,Bank
23829,pistool,pistol
23793,noem,nobble
23761,bedrijf,business
23733,camera,camera
23733,blijkbaar,evidently
23616,woont,lives
23615,verkopen,to sell
23607,beide,both
23575,zolang,so long
23574,straat,street
23499,mike,Mike
23452,geest,spirit
23433,david,David
23431,vuur,fire
23387,peter,Peter
23365,verkeerde,wrong
23361,moesten,should
23232,lieve,dear
23183,tom,Tom
23179,geprobeerd,tried
23124,meeste,Most
23103,kijkt,look
23078,stierf,died
23068,hotel,hotel
23033,droom,dream
23031,verliefd,in love
22986,jammer,Shame
22958,gedacht,thought
22920,let,note
22868,rug,back
22864,vertaling,translation
22794,slaan,to beat
22778,gaten,hole
22767,doel,target
22759,meter,meter
22662,drugs,drugs
22605,gevaarlijk,dangerous
22586,geweldige,great
22538,lijst,list
22496,fbi,fi
22388,namen,names
22333,deden,did
22292,jonge,young
22216,schelen,care
22194,goedemorgen,good morning
22192,dragen,to wear
22153,iedere,every
22128,excuseer,excuse
22050,stom,stupid
22033,jong,young
22024,zover,as far
22016,betaald,paid
22014,kende,knew
22000,kleren,clothes
21984,gesprek,conversation
21907,lukt,NS
21896,welk,which
21874,vertelt,tells
21873,prijs,price
21813,voorstellen,introduce
21792,huwelijk,wedding
21786,tv,TV
21780,missen,to miss
21779,schrijven,write
21771,groep,group
21686,herinneren,to remind
21643,regels,lines
21627,vonden,found
21528,vliegtuig,aeroplane
21488,onderweg,en route
21458,delen,parts
21454,geleerd,learned
21449,stomme,stupid
21440,bestaat,exists
21372,james,James
21304,vertrouw,trust
21299,daarvoor,therefor
21265,shit,shit
21250,trekken,Pull
21196,zak,bag
21145,vanuit,from
21082,gebracht,brought
21071,stem,voice
21054,gezin,family
21031,keuze,choise
20992,raken,touch
20978,direct,straight away
20968,verdomde,damn
20881,boot,boat
20836,dom,stupid
20816,verleden,past
20795,gemist,missed
20779,duurt,takes
20753,gedachten,thoughts
20724,situatie,situation
20708,moe,tired
20676,deal,deagle
20665,tafel,table
20647,band,band
20643,generaal,general
20543,reis,trip
20489,partner,partner
20471,leuke,nice
20447,raad,Council
20396,honger,hunger
20380,geraakt,touched
20377,gebouw,building
20373,zwaar,heavy
20321,gast,guest
20318,gestuurd,controlled
20279,geboren,born
20258,bracht,brought
20254,rechter,right
20224,agenten,agents
20171,bureau,desk
20161,macht,power
20141,spreek,talk
20049,derde,third
20038,regel,rule
20037,kolonel,colonel
20000,ruzie,row
19994,oma,Grandma
19940,zeiden,tough
19940,speelt,plays
19923,dronken,drunk
19919,vliegen,to fly
19867,luitenant,lieutenant
19852,gelooft,believes
19847,arme,poor
19706,seconden,seconds
19687,liep,ran
19655,tuurlijk,of course
19650,red,red
19648,gefeliciteerd,congratulations
19550,koud,cold
19534,regelen,to arrange
19483,henry,Henry
19459,bericht,message
19448,vlucht,flight
19407,moeite,effort
19393,hel,hell
19338,dame,Lady
19310,oog,eye
19260,ma,ma
19257,dansen,dancing
19243,teken,sign
19187,onmogelijk,impossible
19162,gewerkt,worked
19153,helaas,Unfortunately
19144,grapje,just kidding
19131,arm,arm
19128,show,show
19108,lachen,laugh
19103,leggen,lay
19101,sleutel,key
19085,wet,law
19057,liefje,sweetheart
18999,keek,watched
18976,paul,Paul
18957,alex,Alex
18885,aantal,number
18871,zoekt,searches
18844,extra,additional
18768,zweer,swear
18742,leiden,lead
18661,harry,harry
18661,mary,mary
18620,lijk,dead body
18568,kapot,Broken
18565,bleef,Remained
18565,sneller,faster
18564,gebroken,broken
18521,uiteindelijk,in the end
18521,verdwenen,disappeared
18486,kaart,Map
18459,kerk,church
18450,mijne,mine
18405,dode,dead
18385,brand,fire
18361,i,I
18349,max,max
18328,betrokken,concerned
18295,wegwezen,get out
18287,plannen,plan
18284,volg,follow
18277,lastig,difficult
18214,tijdje,while
18197,negen,nine
18164,gebied,area
18129,beiden,both
18074,eind,end
18071,operatie,operation
17969,diep,deep
17943,persoonlijk,in person
17889,liegen,to lie
17883,zwanger,pregnant
17847,club,club
17819,respect,respect
17808,steek,lurch
17778,waarvoor,for which
17760,missie,mission
17753,cool,cool
17738,danny,Danny
17722,amerika,America
17668,zon,Sun
17636,kost,cost
17627,paard,horse
17623,waarop,upon which
17621,maat,measure
17618,brief,letter
17612,raak,tall
17591,rijk,rich
17584,rij,queue
17565,risico,risk
17535,meestal,mostly
17533,witte,white
17509,getuige,witness
17489,kwalijk,bad
17469,rechercheur,detective
17421,schoenen,shoes
17399,bar,bar
17374,hoeven,hooves
17368,midden,middle
17355,hopelijk,hopefully
17340,lijn,line
17305,eer,honour
17280,gezet,set
17246,zuster,sister
17239,bal,ball
17228,a,a
17212,sprak,spin
17167,aanval,attack
17149,aandacht,attention
17131,kiezen,select
17097,komaan,come on
17094,rode,red
17058,meiden,girls
17056,amerikaanse,American
17033,adres,address
16907,zee,sea
16819,hoog,high
16819,feestje,party
16803,gekocht,purchased
16801,bevel,command
16767,wedstrijd,contest
16744,sluiten,Close
16741,daarvan,of them
16731,jimmy,Jimmy
16715,volledig,complete
16702,rot,rotten
16664,les,lesson
16654,ziel,soul
16639,interessant,interesting
16622,slag,battle
16618,sluit,clockwise
16582,zelfmoord,suicide
16550,computer,computer
16523,planeet,planet
16480,bereiken,to achieve
16476,verdachte,suspect
16448,sarah,Sarah
16431,gelezen,read
16430,uitleggen,to explain
16424,beloofd,promised
16400,laatst,last
16383,winkel,store
16379,zul,zero
16371,wagen,carriage
16369,angst,fear
16362,muur,wall
16337,leeg,empty
16270,bezoek,visit
16259,stelen,to steal
16252,gewonnen,won
16214,positie,position
16195,wisten,knock
16193,sheriff,sheriff
16156,bekijken,to look at
16125,helft,half
16120,r,r
16098,warm,warm
16097,keus,choice
16088,vanmorgen,this morning
16023,park,park
16011,zulke,such
16010,nick,Nick
15989,heerlijk,lovely
15985,gevallen,cases
15964,zaten,seal
15963,rennen,run
15952,gewond,injured
15937,sergeant,sergeant
15922,volk,people
15907,dieren,animal
15887,kort,short
15883,spreekt,speak
15873,ah,Ah
15862,allen,all
15856,tony,tony
15853,verdient,deserve
15818,onderzoeken,to investigate
15808,haast,hast
15803,dromen,to dream
15770,systeem,system
15752,meester,master
15749,kont,ass
15739,enig,any
15715,ontdekt,discovers
15679,verkocht,sold
15660,tante,aunt
15634,bewegen,to move
15634,geschreven,written
15614,groter,taller
15594,neus,nose
15582,ach,oh
15572,verklaring,declaration
15572,broek,pants
15568,verdienen,to earn
15562,speel,play
15553,hangt,hanging
15527,vijand,enemy
15492,gelukt,success
15473,verschillende,various
15450,speciale,special one
15444,verrassing,surprise
15409,vreemde,stranger
15404,sla,salad
15380,geschiedenis,history
15369,erachter,behind
15357,lul,dick
15331,bezorgd,Worried
15286,hoogte,height
15234,vrede,peace
15188,meegenomen,brought
15186,zagen,saws
15176,liegt,lying
15160,bus,bus
15128,belachelijk,ridiculous
15123,betere,better
15119,raam,windown
15098,wijn,wine
15056,mes,knife
15049,ontslagen,laid off
15037,geheime,secret
14987,gehouden,held
14979,weggaan,leave away
14956,weekend,weekend
14953,eh,eh
14937,excuses,excuses
14905,getuigen,to give evidence
14881,jim,Jim
14877,bom,bomb
14873,inspecteur,inspector
14872,gehaald,fetched
14858,spoor,track
14812,held,hero
14797,benen,legs
14794,dachten,thought
14794,waarvan,of which
14788,tas,bag
14778,thee,tea
14761,ray,ray
14761,jane,Jane
14760,overleven,to survive
14759,belt,call
14753,meenemen,take
14751,nek,neck
14693,gevecht,battle
14684,bestaan,to exist
14676,ongelooflijk,incredible
14648,slachtoffers,victims
14646,drink,drink
14638,ring,ring
14610,donker,dark
14607,links,left
14596,dichtbij,close to
14586,bereid,prepared
14575,feit,fact
14536,vriendje,boyfriend
14494,professor,professor
14491,verschil,difference
14472,collega,colleague
14466,spul,stuff
14448,boeken,books
14441,slaat,hit
14435,will,will
14429,alweer,weather
14415,rekening,account
14409,gooi,throw
14390,beslissing,decision
14383,verlies,loss
14381,been,leg
14381,verjaardag,birthday
14378,lift,elevator
14365,tommy,Tommy
14361,bob,bob
14348,koningin,Queen
14324,teveel,too many
14323,levend,living
14306,waarmee,by which
14286,raakt,touch
14273,draagt,wears
14261,verandert,changes
14257,trein,train
14253,da,Da
14236,monster,sample
14221,raakte,hit
14210,sporen,tracks
14207,opa,grandpa
14205,zingen,to sing
14166,voeten,feet
14162,lot,lot
14146,richting,direction
14125,knap,good looking
14101,duren,to last
14099,speciaal,special
14085,gebruikte,used
14073,gestopt,stopped
14054,hoge,high
14050,gesloten,Closed
14049,boord,board
14049,bedoelde,meant
13989,gepakt,crazy
13969,you,you
13933,draai,play
13933,vannacht,tonight
13920,ijs,ice
13907,enorme,huge
13906,reed,drove
13888,beurt,turn
13888,koop,buy
13873,appartement,apartment
13855,cel,cell
13848,d,D
13845,begraven,to bury
13830,indruk,impression
13793,vlees,meat
13791,strijd,conflict
13782,ochtend,morning
13747,keuken,kitchen
13730,energie,energy
13722,vernietigen,destroy
13715,geregeld,regularly
13690,plaatsen,place
13687,gevoelens,feelings
13683,last,charge
13673,la,la
13665,bedanken,to thank
13661,ophouden,to hold up
13656,hangen,to hang
13650,kennis,knowledge
13647,bill,Bill
13606,patiënt,patient
13585,zware,heavy
13578,basis,base
13563,kat,cat
13552,glas,glass
13539,sloeg,stroke
13538,dankzij,thanks to
13536,dader,perpetrator
13512,gasten,visitors
13488,zwart,black
13481,betaal,pay
13475,adem,breath
13464,richard,Richard
13388,boodschap,errand
13386,grap,joke
13383,bos,bunch
13348,geholpen,assisted
13339,godsnaam,God sake
13330,prachtige,gorgeous
13318,neergeschoten,shot
13314,werkelijk,actually
13296,gestorven,died
13282,huilen,to cry
13272,commandant,commander
13266,billy,Billy
13263,soldaten,soldiers
13262,jake,jaked
13232,jurk,dress
13230,gevangen,caught
13208,veiligheid,safety
13198,hoek,corner
13178,hiermee,with this
13177,afstand,distance
13172,kilometer,kilometer
13170,regering,government
13168,stoel,chair
13160,onschuldig,innocent
13153,kogel,ball
13146,londen,London
13140,vlak,right
13135,stuurde,controlled
13134,fijne,nice
13129,waarin,in which
13126,voet,foot
13125,haalt,fetches
13114,ontsnappen,escape
13109,gooien,throw
13107,rechts,right
13102,ineens,suddenly
13089,ouwe,old
13088,test,test
13076,toestemming,permission
13075,wraak,revenge
13067,breken,break
13061,rol,role
13050,opschieten,Hurry up
13022,kalm,calm
13016,goud,gold
13015,verantwoordelijk,responsible
13010,enorm,enormous
13009,bespreken,discuss
13008,noemt,mentions
13008,verdorie,damn
13006,ervaring,experience
13004,soldaat,soldier
13003,gepraat,talk
12989,steve,steve
12977,mark,Mark
12959,totaal,total
12942,and,and
12925,gratis,for free
12921,overleden,passed away
12902,moorden,murderous
12837,eiland,Island
12826,beeld,image
12822,passen,to suit
12821,leeftijd,age
12821,noemde,mentioned
12795,tekenen,draw
12795,doorgaan,Get on
12793,boom,tree
12781,uitzoeken,investigate
12758,dak,roof
12753,besloten,private
12721,lunch,lunch
12707,ryan,Ryan
12704,vele,many
12698,schoon,clean
12694,controleren,check
12690,gearresteerd,arrested
12687,schoot,shot
12684,eraf,off
12672,achteruit,backwards
12668,johnny,Johnny
12666,belangrijke,important
12665,lees,read
12664,perfecte,Perfect
12652,dorp,village
12648,eikel,jerk
12640,bobby,Bobby
12624,dossier,dossier
12613,past,suits
12609,code,code
12607,vieren,to celebrate
12596,geluid,sound
12552,homo,homo
12547,verschrikkelijk,terrible
12546,stelt,stilt
12545,slaapt,sleeps
12522,bier,beer
12521,dna,DNA
12478,hoelang,how long
